Source,Date,Indicator,Value
IMF,1980-01,Inflation_Index,35.6789899819083
IMF,1980-02,Inflation_Index,36.1834487091589
IMF,1980-03,Inflation_Index,36.733767320705
IMF,1980-04,Inflation_Index,37.1465062793647
IMF,1980-05,Inflation_Index,37.5133853537288
IMF,1980-06,Inflation_Index,37.9261243123884
IMF,1980-07,Inflation_Index,37.9261243123884
IMF,1980-08,Inflation_Index,38.2012836181614
IMF,1980-09,Inflation_Index,38.52230280823
IMF,1980-10,Inflation_Index,38.8891818825941
IMF,1980-11,Inflation_Index,39.2102010726627
IMF,1980-12,Inflation_Index,39.5770801470268
IMF,1981-01,Inflation_Index,39.8980993370954
IMF,1981-02,Inflation_Index,40.310838295755
IMF,1981-03,Inflation_Index,40.585997601528
IMF,1981-04,Inflation_Index,40.8611569073011
IMF,1981-05,Inflation_Index,41.1821760973697
IMF,1981-06,Inflation_Index,41.5490551717338
IMF,1981-07,Inflation_Index,42.0076540146889
IMF,1981-08,Inflation_Index,42.3286732047575
IMF,1981-09,Inflation_Index,42.7414121634171
IMF,1981-10,Inflation_Index,42.8331319320081
IMF,1981-11,Inflation_Index,42.9707115848947
IMF,1981-12,Inflation_Index,43.1082912377812
IMF,1982-01,Inflation_Index,43.2458708906677
IMF,1982-02,Inflation_Index,43.3834505435543
IMF,1982-03,Inflation_Index,43.3375906592588
IMF,1982-04,Inflation_Index,43.5210301964408
IMF,1982-05,Inflation_Index,43.9337691551004
IMF,1982-06,Inflation_Index,44.4840877666466
IMF,1982-07,Inflation_Index,44.7133871881241
IMF,1982-08,Inflation_Index,44.8051069567152
IMF,1982-09,Inflation_Index,44.8968267253062
IMF,1982-10,Inflation_Index,45.0344063781927
IMF,1982-11,Inflation_Index,44.9426866096017
IMF,1982-12,Inflation_Index,44.7592470724196
IMF,1983-01,Inflation_Index,44.8509668410107
IMF,1983-02,Inflation_Index,44.8968267253062
IMF,1983-03,Inflation_Index,44.8968267253062
IMF,1983-04,Inflation_Index,45.2178459153748
IMF,1983-05,Inflation_Index,45.4930052211478
IMF,1983-06,Inflation_Index,45.6305848740344
IMF,1983-07,Inflation_Index,45.8140244112164
IMF,1983-08,Inflation_Index,45.9516040641029
IMF,1983-09,Inflation_Index,46.1809034855805
IMF,1983-10,Inflation_Index,46.318483138467
IMF,1983-11,Inflation_Index,46.4102029070581
IMF,1983-12,Inflation_Index,46.4560627913536
