total_supply,name,tvl_ratio,cmc_rank,quote_USD_market_cap,quote_USD_volume_change_24h,quote_USD_percent_change_60d,quote_USD_percent_change_1h,symbol,quote_USD_fully_diluted_market_cap,quote_USD_last_updated,is_active,quote_USD_percent_change_24h,quote_USD_market_cap_dominance,quote_USD_tvl,id,slug,self_reported_market_cap,num_market_pairs,infinite_supply,quote_USD_volume_24h,date_added,last_updated,tags,quote_USD_percent_change_7d,max_supply,circulating_supply,quote_USD_price,quote_USD_percent_change_90d,self_reported_circulating_supply,quote_USD_percent_change_30d,is_fiat,platform
43783558.34403641,Digitalcoin,,5629,0,-4.3818,138.83473845,1.42948638,DGC,3058.19,2025-02-18T22:31:00.000Z,1,2.30361523,0,,18,digitalcoin,,2,False,4390.34242548,2013-06-09T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}",27.56066679,48166000,0,6.349275787903402e-05,-10.84864529,,-36.74809112,0,
12070868,Luckycoin,,1505,3614402.80963855,17.5538,-95.13961932,2.41080727,LKY,5988637.78,2025-02-18T22:31:00.000Z,1,-6.05748958,0.0001,,22,luckycoin,,10,False,271754.24998632,2013-06-14T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}",-28.01341644,20000000,12070868,0.29943188920950425,-92.28010563,,-40.00525156,0,
44050154.99997141,Goldcoin,,2397,309906.44381927914,63.1909,-59.33880545,0.02248102,GLC,512561.33,2025-02-18T22:31:00.000Z,1,1.63918805,0,,25,goldcoin,309906.44381927914,12,False,1006.58630983,2013-06-14T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}",-29.36737309,72245700,43681421.99997146,0.0070946967756562885,-81.99846761,43681421.99997146,-42.36596327,0,
13961400,Junkcoin,,2320,379517.3497886454,3.2138,-81.25711661,-0.35856661,JKC,379517.35,2025-02-18T22:31:00.000Z,1,-6.18152812,0,,26,junkcoin,,3,False,132713.168914,2013-06-14T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}",-27.59150982,,13961400,0.02718333045315265,-95.98285217,,-48.77921895,0,
92067965.25,Phoenixcoin,,1877,1316643.6393939212,1991.2516,-1.81181661,0.2565511,PXC,1401476.36,2025-02-18T22:31:00.000Z,1,-0.87035891,0,,35,phoenixcoin,,4,False,47.83593489,2013-07-04T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'neoscrypt', 'name': 'NeoScrypt', 'category': 'ALGORITHM'}",-7.11256619,98000000,92067965.25,0.014300779166985243,8.22172484,,-8.24228279,0,
113183293021.14714,Infinitecoin,,9339,0,0,-38.39597292,0,IFC,362348.45,2025-02-18T22:31:00.000Z,1,0,0,,41,infinitecoin,,2,False,0,2013-07-10T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}",0,,0,3.201430525977043e-06,59.99405321,,-2.88792207,0,
52748420.2502742,Primecoin,,1716,2061872.259044444,21.364,8.80312214,0.2565511,XPM,2061872.26,2025-02-18T22:31:00.000Z,1,-0.87035891,0,,42,primecoin,,6,False,746.95400405,2013-07-11T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'multiple-algorithms', 'name': 'Multiple algorithms', 'category': 'ALGORITHM'}",-3.27911654,,52748420.2502742,0.039088796389759664,3.53211676,,-10.42699034,0,
2110316.862,Anoncoin,,9300,0,-96.7063,-36.46646957,0.2565511,ANC,66394.19,2025-02-18T22:31:00.000Z,1,-0.87035891,0,,43,anoncoin,66394.18591482002,1,False,0.03528005,2013-07-15T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'privacy', 'name': 'Privacy', 'category': 'CATEGORY'}",-20.25273975,,0,0.03146171416736754,-34.64256618,2110316.862,-27.90465076,0,
65000000000,CasinoCoin,,6018,0,-0.0631,-39.82247076,0,CSC,7408819.14,2025-02-18T22:31:00.000Z,1,0,0,,45,casinocoin,4706309.882456244,9,False,1949.90297032,2018-01-16T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'gambling', 'name': 'Gambling', 'category': 'INDUSTRY'}; {'slug': 'gaming', 'name': 'Gaming', 'category': 'INDUSTRY'}; {'slug': 'xrp-ecosystem', 'name': 'XRP Ecosystem', 'category': 'PLATFORM'}; {'slug': 'solana-ecosystem', 'name': 'Solana Ecosystem', 'category': 'PLATFORM'}",4.61273618,65000000000,0,0.00011398183294880707,-43.60367686,41290000000,-30.80653495,0,
99986451428,XRP,,3,147670614766.07047,8.7583,11.69718875,0.76294486,XRP,255402133947.53,2025-02-18T22:31:00.000Z,1,-4.36037682,4.7217,,52,xrp,,1534,False,5278663687.320873,2013-08-04T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'medium-of-exchange', 'name': 'Medium of Exchange', 'category': 'INDUSTRY'}; {'slug': 'enterprise-solutions', 'name': 'Enterprise Solutions', 'category': 'INDUSTRY'}; {'slug': 'xrp-ecosystem', 'name': 'XRP Ecosystem', 'category': 'PLATFORM'}; {'slug': 'arrington-xrp-capital-portfolio', 'name': 'Arrington XRP Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'galaxy-digital-portfolio', 'name': 'Galaxy Digital Portfolio', 'category': 'CATEGORY'}; {'slug': 'a16z-portfolio', 'name': 'a16z Portfolio', 'category': 'CATEGORY'}; {'slug': 'pantera-capital-portfolio', 'name': 'Pantera Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'ftx-bankruptcy-estate', 'name': 'FTX Bankruptcy Estate ', 'category': 'CATEGORY'}; {'slug': '2017-2018-alt-season', 'name': '2017/18 Alt season', 'category': 'CATEGORY'}; {'slug': 'klaytn-ecosystem', 'name': 'Klaytn Ecosystem', 'category': 'PLATFORM'}; {'slug': 'made-in-america', 'name': 'Made in America', 'category': 'CATEGORY'}",4.98505335,100000000000,57818864895,2.5540213394753204,129.6075238,,-17.58863981,0,
